H,B,q,R_int,gamma,Su,sf_lower,sf_upper
8,4,10,0.6,18,25,1.041,1.087
8,4,10,0.8,18,25,1.044,1.087
6,20,20,0.8,18,25,1.045,1.08
6,20,20,0.6,18,25,1.047,1.08
6,20,20,1,18,25,1.048,1.08
6,18,20,0.6,18,25,1.061,1.096
8,2,20,1,18,25,1.063,1.11
8,2,20,0.8,18,25,1.063,1.111
8,2,20,0.6,18,25,1.063,1.11
6,18,20,1,18,25,1.064,1.096
6,18,20,0.8,18,25,1.064,1.096
6,16,20,1,18,25,1.084,1.117
6,16,20,0.8,18,25,1.084,1.119
6,16,20,0.6,18,25,1.084,1.117
6,14,20,1,18,25,1.102,1.142
6,14,20,0.8,18,25,1.102,1.142
6,14,20,0.6,18,25,1.103,1.142
8,4,0,1,18,25,1.113,1.168
6,12,20,1,18,25,1.114,1.158
6,12,20,0.8,18,25,1.114,1.158
8,4,0,0.6,18,25,1.115,1.168
6,12,20,0.6,18,25,1.116,1.158
8,4,0,0.8,18,25,1.117,1.168
6,10,20,0.8,18,25,1.125,1.176
8,2,10,0.6,18,25,1.126,1.184
8,2,10,1,18,25,1.127,1.183
8,2,10,0.8,18,25,1.127,1.184
6,10,20,0.6,18,25,1.132,1.176
6,10,20,1,18,25,1.133,1.176
6,20,10,0.6,18,25,1.135,1.171
6,20,10,1,18,25,1.137,1.174
6,20,10,0.8,18,25,1.137,1.174
6,8,20,1,18,25,1.137,1.203
6,18,10,1,18,25,1.153,1.189
6,18,10,0.8,18,25,1.155,1.189
6,18,10,0.6,18,25,1.155,1.189
6,20,20,1,16,25,1.156,1.19
6,20,20,0.6,16,25,1.156,1.19
6,8,20,0.8,18,25,1.156,1.203
6,8,20,0.6,18,25,1.156,1.203
6,20,20,0.8,16,25,1.157,1.191
8,4,10,1,16,25,1.163,1.215
8,4,10,0.8,16,25,1.163,1.215
8,4,10,0.6,16,25,1.163,1.215
6,6,20,1,18,25,1.165,1.229
6,6,20,0.8,18,25,1.165,1.229
6,6,20,0.6,18,25,1.165,1.229
6,16,10,0.6,18,25,1.169,1.215
6,16,10,0.8,18,25,1.17,1.215
6,18,20,0.8,16,25,1.171,1.213
6,18,20,1,16,25,1.174,1.213
6,18,20,0.6,16,25,1.174,1.213
8,2,20,0.8,16,25,1.178,1.231
8,2,20,0.6,16,25,1.178,1.232
6,16,10,1,18,25,1.178,1.215
8,2,20,1,16,25,1.18,1.231
6,16,20,0.8,16,25,1.196,1.233
6,14,10,1,18,25,1.196,1.242
6,14,10,0.6,18,25,1.196,1.242
6,16,20,0.6,16,25,1.197,1.234
6,14,10,0.8,18,25,1.197,1.242
6,16,20,1,16,25,1.198,1.233
6,12,10,0.8,18,25,1.199,1.256
6,12,10,0.6,18,25,1.199,1.255
8,2,0,1,18,25,1.208,1.266
8,2,0,0.8,18,25,1.208,1.266
8,2,0,0.6,18,25,1.208,1.266
6,4,20,1,18,25,1.209,1.275
6,4,20,0.8,18,25,1.209,1.275
6,12,10,1,18,25,1.211,1.255
6,4,20,0.6,18,25,1.217,1.275
6,14,20,1,16,25,1.218,1.262
6,14,20,0.8,16,25,1.218,1.262
6,14,20,0.6,16,25,1.218,1.262
6,10,10,1,18,25,1.22,1.278
6,10,10,0.8,18,25,1.22,1.278
6,12,20,1,16,25,1.225,1.281
6,12,20,0.6,16,25,1.226,1.281
6,10,10,0.6,18,25,1.229,1.278
6,20,0,0.6,18,25,1.231,1.279
6,12,20,0.8,16,25,1.233,1.281
6,20,0,0.8,18,25,1.239,1.282
6,20,0,1,18,25,1.241,1.282
6,10,20,1,16,25,1.247,1.297
6,10,20,0.8,16,25,1.247,1.297
6,10,20,0.6,16,25,1.247,1.297
6,8,10,1,18,25,1.248,1.305
6,8,10,0.8,18,25,1.248,1.305
6,8,10,0.6,18,25,1.25,1.305
8,4,0,1,16,25,1.251,1.307
8,4,0,0.8,16,25,1.251,1.307
8,4,0,0.6,16,25,1.251,1.307
6,18,0,1,18,25,1.251,1.303
6,18,0,0.8,18,25,1.251,1.302
6,18,0,0.6,18,25,1.251,1.302
8,2,10,1,16,25,1.256,1.319
8,2,10,0.8,16,25,1.256,1.321
8,2,10,0.6,16,25,1.258,1.321
6,8,20,1,16,25,1.259,1.326
6,8,20,0.6,16,25,1.259,1.326
6,20,10,0.8,16,25,1.261,1.304
6,20,10,0.6,16,25,1.261,1.304
6,20,10,1,16,25,1.262,1.304
6,8,20,0.8,16,25,1.268,1.326
6,6,10,0.8,18,25,1.277,1.333
6,6,10,0.6,18,25,1.277,1.333
6,6,10,1,18,25,1.279,1.333
6,20,20,0.6,14,25,1.281,1.329
6,18,10,0.8,16,25,1.281,1.326
6,18,10,1,16,25,1.285,1.326
6,20,20,1,14,25,1.288,1.329
6,20,20,0.8,14,25,1.288,1.329
6,16,0,1,18,25,1.288,1.325
6,18,10,0.6,16,25,1.289,1.326
6,16,0,0.8,18,25,1.289,1.324
6,16,0,0.6,18,25,1.289,1.325
6,6,20,1,16,25,1.291,1.359
6,6,20,0.8,16,25,1.291,1.359
6,6,20,0.6,16,25,1.291,1.359
6,18,20,1,14,25,1.3,1.353
6,18,20,0.8,14,25,1.3,1.353
6,18,20,0.6,14,25,1.3,1.353
6,14,0,0.6,18,25,1.304,1.355
6,14,0,1,18,25,1.306,1.355
6,14,0,0.8,18,25,1.306,1.355
6,16,10,1,16,25,1.309,1.354
6,16,10,0.8,16,25,1.309,1.354
6,16,10,0.6,16,25,1.309,1.35
6,4,10,0.8,18,25,1.311,1.385
6,4,10,0.6,18,25,1.311,1.385
6,2,20,1,18,25,1.311,1.372
8,4,10,1,14,25,1.312,1.378
8,4,10,0.6,14,25,1.312,1.378
6,2,20,0.8,18,25,1.313,1.372
6,2,20,0.6,18,25,1.313,1.373
8,4,10,0.8,14,25,1.317,1.378
6,4,10,1,18,25,1.321,1.385
8,2,20,1,14,25,1.323,1.38
8,2,20,0.8,14,25,1.323,1.38
8,2,20,0.6,14,25,1.323,1.38
6,12,0,1,18,25,1.323,1.373
6,12,0,0.8,18,25,1.323,1.373
6,12,0,0.6,18,25,1.323,1.373
6,16,20,0.6,14,25,1.328,1.375
6,14,10,1,16,25,1.33,1.381
6,14,10,0.8,16,25,1.33,1.381
6,14,10,0.6,16,25,1.33,1.378
6,10,0,0.6,18,25,1.334,1.393
6,10,0,1,18,25,1.336,1.393
6,16,20,0.8,14,25,1.337,1.375
6,16,20,1,14,25,1.338,1.377
6,10,0,0.8,18,25,1.338,1.393
6,4,20,1,16,25,1.344,1.406
6,4,20,0.8,16,25,1.344,1.406
6,4,20,0.6,16,25,1.344,1.406
6,12,10,1,16,25,1.346,1.402
6,12,10,0.8,16,25,1.346,1.402
6,12,10,0.6,16,25,1.346,1.402
6,14,20,1,14,25,1.357,1.406
6,14,20,0.8,14,25,1.357,1.406
6,14,20,0.6,14,25,1.357,1.405
